Lon,Lat,Mask,Conf,brt_t13(K),frp(MW),line,sample,Sat,YearDay,Hour
27.110006,30.769241,8,52,302.877533,5.814295,242,1735,NDE,2018312,0001
26.083252,30.534357,9,100,332.959717,24.340988,301,1620,NDE,2018312,0001
34.865997,28.162659,8,38,301.165985,6.107953,396,2589,NDE,2018312,0001
34.872623,28.161121,8,71,307.277985,9.287819,396,2590,NDE,2018312,0001
34.865070,28.158880,8,39,301.227783,6.001442,402,2590,NDE,2018312,0001
34.871716,28.157379,8,74,308.148651,9.646265,402,2591,NDE,2018312,0001
19.695843,29.230774,9,100,321.094971,18.933758,621,968,NDE,2018312,0001
20.957893,28.902706,8,53,302.991302,8.206435,649,1096,NDE,2018312,0001
19.767996,28.910196,9,85,312.398071,12.240385,668,985,NDE,2018312,0001
19.775846,28.909328,9,100,342.629120,42.192570,668,986,NDE,2018312,0001
22.324579,27.988422,8,75,308.468994,9.712531,759,1256,NDE,2018312,0001
22.430948,27.809181,8,57,303.801788,6.699331,15,1272,NDE,2018312,0003
22.503029,27.640854,8,77,309.366302,9.480216,39,1285,NDE,2018312,0003
12.412856,26.759007,8,38,301.156403,13.389629,327,235,NDE,2018312,0003
19.540602,14.448268,8,37,307.025055,6.517228,521,1294,NDE,2018312,0005
19.522709,14.436674,9,100,333.992767,26.104116,523,1292,NDE,2018312,0005
19.530575,14.435532,9,100,347.878174,43.452766,523,1293,NDE,2018312,0005
19.545218,14.426311,8,31,308.132141,6.828034,524,1295,NDE,2018312,0005
19.504814,14.425086,9,100,326.805786,19.724773,525,1290,NDE,2018312,0005
19.512695,14.423944,8,53,311.754517,8.559607,525,1291,NDE,2018312,0005
19.503727,14.418145,9,100,345.413147,40.952164,526,1290,NDE,2018312,0005
19.494759,14.412330,8,77,309.159607,8.104698,527,1289,NDE,2018312,0005
19.494930,14.410645,9,95,317.383911,12.298973,528,1290,NDE,2018312,0005
19.493855,14.403709,9,100,324.945312,17.916761,529,1290,NDE,2018312,0005
19.483826,14.390980,8,53,311.695465,8.413334,531,1289,NDE,2018312,0005
19.498489,14.381711,7,24,310.896881,7.782630,532,1291,NDE,2018312,0005
19.506351,14.380555,7,14,302.849030,4.543839,532,1292,NDE,2018312,0005
19.473783,14.378250,9,100,331.761444,23.984005,533,1288,NDE,2018312,0005
19.464813,14.372458,8,76,315.930664,11.151420,534,1287,NDE,2018312,0005
19.472700,14.371297,8,59,315.632446,10.774030,534,1288,NDE,2018312,0005
24.313395,13.306090,8,51,302.675903,6.070700,579,1955,NDE,2018312,0005
24.321413,13.304749,9,94,316.621613,14.052279,579,1956,NDE,2018312,0005
13.557282,13.852767,8,56,303.647064,12.194821,729,658,NDE,2018312,0005
